Ticket,Symbol,Type,Volume,OpenPrice,ClosePrice,OpenTime,CloseTime,Profit,Commission,Swap
106238776,EURUSD,BUY,1,1.17364,1.17364,2025-09-12T23:00:00.000Z,2025-09-12T23:00:00.000Z,15,-2.93,0
106251304,XAUUSD,BUY,0.5,3642.35,3642.35,2025-09-15T03:15:53.000Z,2025-09-15T03:15:53.000Z,-225,-4.55,0
106252707,XAUUSD,SELL,0.5,3633.59,3633.59,2025-09-15T03:39:21.000Z,2025-09-15T03:39:21.000Z,-229.5,-4.54,0
106278396,EURUSD,BUY,1,1.17407,1.17407,2025-09-15T10:32:38.000Z,2025-09-15T10:32:38.000Z,-142,-2.94,0
106386802,USDJPY,BUY,1,147.396,147.396,2025-09-15T22:50:34.000Z,2025-09-15T22:50:34.000Z,499.34,-2.5,-95.91
106386801,EURUSD,SELL,1,1.17667,1.17667,2025-09-15T22:50:34.000Z,2025-09-15T22:50:34.000Z,400,-2.94,0
106397814,XAUUSD,BUY,0.5,3683.05,3683.05,2025-09-16T03:29:26.000Z,2025-09-16T03:29:26.000Z,-225,-4.6,0
106413061,EURUSD,BUY,1,1.17797,1.17797,2025-09-16T06:31:26.000Z,2025-09-16T06:31:26.000Z,-143,-2.94,0
106552929,XAUUSD,SELL,0.5,3689.46,3689.46,2025-09-16T23:00:00.000Z,2025-09-16T23:00:00.000Z,533.5,-4.61,0
106552935,EURUSD,SELL,1,1.18598,1.18598,2025-09-16T23:00:00.000Z,2025-09-16T23:00:00.000Z,941,-2.96,0
106565330,EURUSD,SELL,1,1.18579,1.18579,2025-09-17T03:59:01.000Z,2025-09-17T03:59:01.000Z,-142,-2.96,0
106565575,XAUUSD,SELL,0.5,3690.45,3690.45,2025-09-17T04:00:03.000Z,2025-09-17T04:00:03.000Z,-229,-4.61,0
106662296,XAUUSD,BUY,0.5,3686.09,3686.09,2025-09-17T19:16:48.000Z,2025-09-17T19:16:48.000Z,416,-4.61,0
106676298,EURUSD,BUY,1,1.18804,1.18804,2025-09-17T21:00:27.000Z,2025-09-17T21:00:27.000Z,-85,-2.97,0
106766092,XAUUSD,SELL,0.5,3664.41,3664.41,2025-09-18T03:08:17.000Z,2025-09-18T03:08:17.000Z,-226.5,-4.58,0
106784250,EURUSD,SELL,1,1.18069,1.18069,2025-09-18T07:32:50.000Z,2025-09-18T07:32:50.000Z,-142,-2.95,0
106812763,EURUSD,BUY,1,1.18348,1.18348,2025-09-18T10:42:01.000Z,2025-09-18T10:42:01.000Z,-140,-2.96,0
106832719,XAUUSD,BUY,0.5,3672.91,3672.91,2025-09-18T12:31:28.000Z,2025-09-18T12:31:28.000Z,-230.5,-4.59,0
106931450,USDJPY,SELL,1,147.879,147.879,2025-09-18T22:00:00.000Z,2025-09-18T22:00:00.000Z,308.36,-2.5,0
106944975,XAUUSD,BUY,0.5,3642.81,3642.81,2025-09-19T03:01:39.000Z,2025-09-19T03:01:39.000Z,-231,-4.55,0
106953740,XAUUSD,SELL,0.5,3634.14,3634.14,2025-09-19T04:51:28.000Z,2025-09-19T04:51:28.000Z,-229,-4.54,0
